two_theta,CPS,ESD
10,20.83,2.236
10.02,41.67,3.162
10.04,20.83,2.236
10.06,29.17,2.646
10.08,20.83,2.236
10.1,8.33,1.414
10.12,16.67,2
10.14,16.67,2
10.16,8.33,1.414
10.18,12.5,1.732
10.2,37.5,3
10.22,4.17,1
10.24,8.33,1.414
10.26,25,2.449
10.28,33.33,2.828
10.3,25,2.449
10.32,8.33,1.414
10.34,25,2.449
10.36,29.17,2.646
10.38,16.67,2
10.4,33.33,2.828
10.42,25,2.449
10.44,0,0
10.46,41.67,3.162
10.48,33.33,2.828
10.5,20.83,2.236
10.52,45.83,3.317
10.54,29.17,2.646
10.56,37.5,3
10.58,12.5,1.732
10.6,16.67,2
10.62,4.17,1
10.64,20.83,2.236
10.66,12.5,1.732
10.68,12.5,1.732
10.7,16.67,2
10.72,29.17,2.646
10.74,41.67,3.162
10.76,12.5,1.732
10.78,20.83,2.236
10.8,29.17,2.646
10.82,50,3.464
10.84,25,2.449
10.86,12.5,1.732
10.88,16.67,2
10.9,4.17,1
10.92,20.83,2.236
10.94,25,2.449
10.96,12.5,1.732
10.98,25,2.449
11,25,2.449
11.02,16.67,2
11.04,12.5,1.732
11.06,25,2.449
11.08,20.83,2.236
11.1,25,2.449
11.12,20.83,2.236
11.14,25,2.449
11.16,4.17,1
11.18,25,2.449
11.2,25,2.449
11.22,25,2.449
11.24,33.33,2.828
11.26,20.83,2.236
11.28,16.67,2
11.3,16.67,2
11.32,12.5,1.732
11.34,12.5,1.732
11.36,20.83,2.236
11.38,20.83,2.236
11.4,25,2.449
11.42,12.5,1.732
11.44,4.17,1
11.46,25,2.449
11.48,41.67,3.162
11.5,4.17,1
11.52,8.33,1.414
11.54,12.5,1.732
11.56,20.83,2.236
11.58,20.83,2.236
11.6,20.83,2.236
11.62,25,2.449
11.64,4.17,1
11.66,20.83,2.236
11.68,16.67,2
11.7,29.17,2.646
11.72,20.83,2.236
11.74,20.83,2.236
11.76,29.17,2.646
11.78,12.5,1.732
11.8,16.67,2
11.82,8.33,1.414
11.84,20.83,2.236
11.86,29.17,2.646
11.88,8.33,1.414
11.9,37.5,3
11.92,12.5,1.732
11.94,25,2.449
11.96,16.67,2
11.98,8.33,1.414
12,16.67,2
12.02,12.5,1.732
12.04,29.17,2.646
12.06,16.67,2
12.08,20.83,2.236
12.1,16.67,2
12.12,16.67,2
12.14,16.67,2
12.16,37.5,3
12.18,8.33,1.414
12.2,20.83,2.236
12.22,20.83,2.236
12.24,33.33,2.828
12.26,4.17,1
12.28,16.67,2
12.3,16.67,2
12.32,29.17,2.646
12.34,4.17,1
12.36,25,2.449
12.38,8.33,1.414
12.4,20.83,2.236
12.42,16.67,2
12.44,20.83,2.236
12.46,16.67,2
12.48,16.67,2
12.5,4.17,1
12.52,8.33,1.414
12.54,33.33,2.828
12.56,8.33,1.414
12.58,25,2.449
12.6,20.83,2.236
12.62,16.67,2
12.64,8.33,1.414
12.66,29.17,2.646
12.68,25,2.449
12.7,8.33,1.414
12.72,20.83,2.236
12.74,16.67,2
12.76,4.17,1
12.78,29.17,2.646
12.8,29.17,2.646
12.82,16.67,2
12.84,16.67,2
12.86,8.33,1.414
12.88,20.83,2.236
12.9,33.33,2.828
12.92,8.33,1.414
12.94,16.67,2
12.96,4.17,1
12.98,33.33,2.828
13,0,0
13.02,20.83,2.236
13.04,20.83,2.236
13.06,33.33,2.828
13.08,12.5,1.732
13.1,8.33,1.414
13.12,12.5,1.732
13.14,33.33,2.828
13.16,41.67,3.162
13.18,12.5,1.732
13.2,8.33,1.414
13.22,16.67,2
13.24,8.33,1.414
13.26,12.5,1.732
13.28,33.33,2.828
13.3,16.67,2
13.32,8.33,1.414
13.34,29.17,2.646
13.36,8.33,1.414
13.38,29.17,2.646
13.4,0,0
13.42,8.33,1.414
13.44,20.83,2.236
